Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
MODEL-AD_Abca7_APOE4_Trem2,MODEL-AD Abca7*A1527G/APOE4/Trem2*R47H Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21075750,NA,string,ADKP
MODEL-AD_Ceacam_KO_APOE4_Trem2,MODEL-AD Ceacam1 KO/APOE4/Trem2*R47H Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21075764,NA,string,ADKP
MODEL-AD_Harmonization,MODEL-AD Harmonization Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25882591,NA,string,ADKP
MODEL-AD_Il1rapKO_APOE4_Trem2_exon2KO,"MODEL-AD Il1rap KO/APOE4/Trem2*R47H, exon 2 KO Study",NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21075802,NA,string,ADKP
MODEL-AD_Mthfr_APOE4_Trem2,MODEL-AD Mthfr*C677T/APOE4/Trem2*R47H Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21075850,NA,string,ADKP
MODEL-AD_Rat_F344,MODEL-AD Rat F344 Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn20730014,NA,string,ADKP
MODEL-AD_Trem2_R47H,MODEL-AD Trem2 R47H Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn18634477,NA,string,ADKP
MODEL-AD_hAbeta_KI,MODEL-AD Humanized Abeta Knock-in Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn18634479,NA,string,ADKP
MODEL-AD_hCR1_KI_on_APOE4_Trem2,MODEL-AD hCR1 KI on APOE4/Trem2 Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21075863,NA,string,ADKP
MODEL-AD_hTau_Trem2,MODEL-AD hTau Trem2 Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn18693211,NA,string,ADKP
MRGWAS,Mendelian randomization of human longevity using genetically-predicted exposures from the GWAS catalog,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26066886,NA,string,ADKP
MSBB,Mount Sinai Brain Bank AD Cohort,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3159438,NA,string,ADKP
MSBB_ArrayTissuePanel,Expression array and coexpression networks on 19 brain regions,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3157699,NA,string,ADKP
MSDM,Mount Sinai Drosophila Melanogaster,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4587607,NA,string,ADKP
MSMM,Mount Sinai Mouse Models,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5477220,NA,string,ADKP
MSSMiPSC,iPSC derived hiPSC forebrain neurons and NPCs,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5986884,NA,string,ADKP
MayoHippocampus,The Mayo Clinic Hippocampal Vulnerability Study (MayoHippocampus),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn32141161,NA,string,ADKP
MayoLOADGWAS,Mayo Clinic LOAD genome-wide association and brain gene expression studies,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn2910256,NA,string,ADKP
MayoPilotRNAseq,RNAseq on a subset of MayoEGWAS,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3157268,NA,string,ADKP
MayoRNAseq,Mayo RNAseq study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5550404,NA,string,ADKP
MayoeGWAS,Gene expression from the Illumina Whole Genome DASL array,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3157225,NA,string,ADKP
MindPhenomeKB,A Phenotypic Knowledge Base to Study Genetic Links Between AD and Neuropsychatric Symptoms (MindPhenomeKB),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25326405,NA,string,ADKP
MouseHAL,Chronic Haloperidol Effects on Gene Expression and Chromatin Accessibility in Mouse Brain,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4590850,NA,string,ADKP
NAPS,The Neurodegeneration-Associated Psychiatric Syndromes (NAPS) study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23633760,NA,string,ADKP
NHP-Chimpanzee,Chimpanzee data,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7067053,NA,string,ADKP
NHP-Macaque,A transcription atlas of the rhesus monkey brain,NA,NA,NA,NA,study,NA,NA,NA,string,ADKP
NPS-AD,The Molecular Mechanisms of Neuropsychiatric Symptoms in Alzheimer Disease (NPS-AD) Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn51197189,NA,string,ADKP
OFMM,NA,NA,NA,NA,NA,study,NA,NA,NA,string,ADKP
Organoid_scRNAseq,The AD cerebral organoid single-cell transcriptome study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26865580,NA,string,ADKP
Plxnb1_KO,The Plxnb1 Knockout Study (Plxnb1_KO),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26453791,NA,string,ADKP
RADEL,The Resilience to Alzheimer Disease in Humans with Exceptional Longevity (RADEL) Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23540132,NA,string,ADKP
RNAseq_Harmonization,The RNAseq Harmonization Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn21241740,NA,string,ADKP
ROSMAP,Religious Orders Study and Memory and Aging Project,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3219045,NA,string,ADKP
ROSMAP-IA,The ROSMAP iPSC-derived Astrocyte Study (ROSMAP-IA),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn52383678,NA,string,ADKP
ROSMAP-IN,The ROSMAP-iPSC derived induced neurons (ROSMAP-IN) genomic data study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23564891,NA,string,ADKP
ROSMAP_CellTypeSpecificHA,The ROSMAP Cell-type Specific Histone Acetylation Study (ROSMAP_CellTypeSpecificHA),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25832093,NA,string,ADKP
ROSMAP_CognitiveResilience,The ROSMAP_CognitiveResilience study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22695346,NA,string,ADKP
ROSMAP_Lipidomics_Emory,ROSMAP Lipidomics generated by Emory,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26452612,NA,string,ADKP
ROSMAP_MammillaryBody,The ROSMAP Mammillary Body Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn50670858,NA,string,ADKP
ROSMAP_bsSeq,Targeted BS-seq on 150 randomly selected ROSMAP samples (ROSMAP_bsSeq),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25832093,NA,string,ADKP
ROSMAP_nucleus_hashing,The ROSMAP nucleus hashing study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22391827,NA,string,ADKP
RR_APOE4,The ROSMAP Resilience APOE4 study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23633750,NA,string,ADKP
SEA-AD,The Seattle Alzheimer's Disease Brain Cell Atlas (SEA-AD) Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26223298,NA,string,ADKP
SMIB-AD,The Somatic Mutations in Brains of Alzheimer's Disease (SMIB-AD) Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22278344,NA,string,ADKP
SUNYStrokeModel,Mouse behavioral assays on stroke and AD models,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7181520,NA,string,ADKP
SV_xQTL,The Structural Variation xQTL Study (SV_xQTL),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26865111,NA,string,ADKP
SWS,Arivale-Providence Feasibility Study of Scientific Wellness (Scientific Wellness Study - SWS),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25807950,NA,string,ADKP
SY5Y_Emory,APP/TAU transduced SY5Y cells,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn8513284,NA,string,ADKP
SY5Y_REST,LiCl treated SH-SY5Y cells,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5987497,NA,string,ADKP
StJude_BannerSun,The collaborative Banner Sun - St. Jude Alzheimer's disease and related dementias (StJude_BannerSun) study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21592732,NA,string,ADKP
SuperAgerEpiMap,The Super Ager EpiMap Study (SuperAgerEpiMap),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25672226,NA,string,ADKP
TASTPM,A double transgenic mouse model,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5714307,NA,string,ADKP
TAUAPPms,Tau and APP mouse model,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3157182,NA,string,ADKP
TS-RNAseq,Transcriptional Analysis of the Human Striatum in Tourette Syndrome,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3158906,NA,string,ADKP
TWAS,Transcriptome-Wide Association Study (TWAS) in Alzheimer's Disease,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22313785,NA,string,ADKP
TauD35,Mouse tauopathy model,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5714308,NA,string,ADKP
TyrobpKO,Mouse Tyrobp KO model,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7123287,NA,string,ADKP
TyrobpKO_AppPs1,TyrobpKO mice crossed with APP/PS1 tg,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn10378730,NA,string,ADKP
U1-70_PrimaryCellCulture,APP.PS1 and U1-70 transduced neurons,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5820226,NA,string,ADKP
UAB_ADRC,The University of Alabama Birmingham Alzheimer Disease Research Center (UAB_ADRC) Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn51226075,NA,string,ADKP
UCI_3xTg-AD,The UCI_3xTg-AD study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22964685,NA,string,ADKP
UCI_BIN1,The UCI_BIN1 Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn50944316,NA,string,ADKP
UCI_CCLines,The UCI Collaborative Cross Lines Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn51713891,NA,string,ADKP
UCI_Microbiome,UCI_Microbiome,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22341542,NA,string,ADKP
UCI_Multiomics,The UCI ADRC Multiomics Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26670419,NA,string,ADKP
UCI_PrimaryScreen,Primary screen data from the UCI MODEL-AD grant (UCI_PrimaryScreen),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25316706,NA,string,ADKP
UCI_StrainValidation,Strain validation data from the UCI MODEL-AD grant,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21595257,NA,string,ADKP
UCI_Trem2-R47H_NSS,The UCI_Trem2-R47H_NSS Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26943950,NA,string,ADKP
UCI_Trem2_Cuprizone,The UCI_Trem2_Cuprizone Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn50670633,NA,string,ADKP
UCLA-ASD,A study of samples from the Autism Tissue Program,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4587609,NA,string,ADKP
UCSF_MAC,The UCSF Memory and Aging Center Study (UCSF_MAC),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25686496,NA,string,ADKP
UFLOR_ABI3_GNGT2,Abi3/Gngt2 deletion influences amyloid B and tau pathologies (UFLOR_ABI3_GNGT2 Study),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn27056180,NA,string,ADKP
UPenn,Center for Neurodegenerative Disease Research at the Perelman School of Medicine of the University of Pennsylvania,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5477237,NA,string,ADKP
VMC,The Vascular Mural Cell -derived ApoE Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21624490,NA,string,ADKP
VirusResilience_Banner,"Virus Resilience, Banner cohort",NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25927764,NA,string,ADKP
VirusResilience_LCL,"Virus Resilience, LCL",NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25927416,NA,string,ADKP
VirusResilience_Mayo.MSBB.ROSMAP,"Brain Viral Profiling in the Mayo, MSBB, and ROSMAP Cohorts",NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25927532,NA,string,ADKP
VirusResilience_iPSC,"Virus Resilience, iPSC",NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25927676,NA,string,ADKP
WGBS Pilot,Whole Genome Bisulfite Sequencing pilot,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4586517,NA,string,ADKP
WGS_Harmonization,The Whole Genome Sequence Harmonization Study (WGS_Harmonization),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn22264775,NA,string,ADKP
WallOfTargets,NA,NA,NA,NA,NA,study,NA,NA,NA,string,ADKP
Yale-ASD,Transcriptional and Epigenetic Signatures of Human Brain Development and Autism-,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4566141,NA,string,ADKP
diseasePseudotime,The diseasePseudotime study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22822673,NA,string,ADKP
eQTLmetaAnalysis,The eQTL Meta-Analysis Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25398075,NA,string,ADKP
iPSC,Gene regulatory elements and transcriptome in iPSCs and postmortem human cortex,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4590910,NA,string,ADKP
iPSC-HiC,Human induced pluripotent stem cells (hiPSCs).,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn12979149,NA,string,ADKP
iPSCAstrocytes,The MSSM iPSCAstrocytes study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn10344967,NA,string,ADKP
iPSCMicroglia,iPSC derived microglia,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7203233,NA,string,ADKP
lncRNA Pilot,long non-coding RNA pilot,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4588462,NA,string,ADKP
miR155,"miR155 regulation of behavior, neuropathology, and cortical transcriptomics in Alzheimer Disease",NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22238772,NA,string,ADKP
mtDNA_AD,The Mitochondrial DNA in Aging and AD (mtDNA_AD) Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25705287,NA,string,ADKP
omicsADDS,Multiomic Studies of Alzheimer's Disease in Adults with Down Syndrome (omicsADDS),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25533707,NA,string,ADKP
rnaSeqReprocessing,"Re-aligned reads from the ROSMAP, MSBB, and MayoRNAseq studies",NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn9702085,NA,string,ADKP
rnaSeqSampleSwap,RNAseq samples sequenced at multiple sites,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5550419,NA,string,ADKP
scRNAseq_microglia_wild_ADmice,Microglia of wild-derived Alzheimer's mouse study (scRNAseq_microglia_wild_ADmice),NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23763501,NA,string,ADKP
snRNAseqAD_TREM2,The TREM2-impact in Alzheimer's Disease Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21125841/wiki/597278,NA,string,ADKP
